Year,Month,Catch,Units,Sex,Special
1963,-999,67.2,Metric Tons Tail,-999,-999
1964,-999,61.4,Metric Tons Tail,-999,-999
1965,-999,,Metric Tons Tail,-999,-999
1966,-999,,Metric Tons Tail,-999,-999
1967,-999,,Metric Tons Tail,-999,-999
1968,-999,,Metric Tons Tail,-999,-999
1969,-999,,Metric Tons Tail,-999,-999
1970,-999,,Metric Tons Tail,-999,-999
1971,-999,,Metric Tons Tail,-999,-999
1972,-999,,Metric Tons Tail,-999,-999
1973,-999,36.7,Metric Tons Tail,-999,-999
1974,-999,53.2,Metric Tons Tail,-999,-999
1975,-999,22.8,Metric Tons Tail,-999,-999
1976,-999,27.0,Metric Tons Tail,-999,-999
1977,-999,24.8,Metric Tons Tail,-999,-999
1978,-999,31.8,Metric Tons Tail,-999,-999
1979,-999,30.7,Metric Tons Tail,-999,-999
1980,-999,29.7,Metric Tons Tail,-999,-999
1981,-999,32.8,Metric Tons Tail,-999,-999
1982,-999,,Metric Tons Tail,-999,-999
1983,-999,,Metric Tons Tail,-999,-999
1984,-999,,Metric Tons Tail,-999,-999
1985,-999,,Metric Tons Tail,-999,-999
1986,-999,,Metric Tons Tail,-999,-999
1987,-999,,Metric Tons Tail,-999,-999
1988,-999,,Metric Tons Tail,-999,-999
1989,-999,,Metric Tons Tail,-999,-999
1990,-999,,Metric Tons Tail,-999,-999
1991,-999,,Metric Tons Tail,-999,-999
1992,-999,,Metric Tons Tail,-999,-999
1993,-999,,Metric Tons Tail,-999,-999
1994,-999,12.0,Metric Tons Tail,-999,-999
1995,-999,98.0,Metric Tons Tail,-999,-999
1996,-999,57.0,Metric Tons Tail,-999,-999
1997,-999,65.3,Metric Tons Tail,-999,-999
1998,-999,31.0,Metric Tons Tail,-999,-999
1999,-999,54.4,Metric Tons Tail,-999,-999
2000,-999,85.0,Metric Tons Tail,-999,-999
2001,-999,66.0,Metric Tons Tail,-999,-999
2002,-999,51.4,Metric Tons Tail,-999,-999
2003,-999,45.8,Metric Tons Tail,-999,-999
2004,-999,25.7,Metric Tons Tail,-999,-999
2005,-999,34.3,Metric Tons Tail,-999,-999
2006,-999,29.7,Metric Tons Tail,-999,-999
2007,-999,32.0,Metric Tons Tail,-999,-999
2008,-999,26.5,Metric Tons Tail,-999,-999
2009,-999,20.9,Metric Tons Tail,-999,-999
2010,-999,26.4,Metric Tons Tail,-999,-999
2011,-999,41.6,Metric Tons Tail,-999,-999
