"","Year","Method","SampleSize","Value","LowerCI","UpperCI","SD","Metric","Flag"
"1",1963,"1","67.2",94.82,79.75,111.63,8.5,"1",NA
"2",1964,"1","61.4",87.14,72.21,103.59,8.26,"1",NA
"3",1965,"1","58.6555555555556",81.3,66.61,98.15,8.15,"1",NA
"4",1966,"1","55.9111111111111",76.69,62.11,93.53,8.1,"1",NA
"5",1967,"1","53.1666666666667",73.1,58.79,89.79,8.08,"1",NA
"6",1968,"1","50.4222222222222",69.78,55.75,86.52,7.97,"1",NA
"7",1969,"1","47.6777777777778",66.81,53.09,83.52,7.83,"1",NA
"8",1970,"1","44.9333333333333",64.22,50.78,80.78,7.68,"1",NA
"9",1971,"1","42.1888888888889",62.02,48.83,78.3,7.54,"1",NA
"10",1972,"1","39.4444444444444",60.17,47.23,76.16,7.39,"1",NA
"11",1973,"1","36.7",58.63,45.97,74.34,7.24,"1",NA
"12",1974,"1","53.2",57.39,45.06,72.81,7.1,"1",NA
"13",1975,"1","22.8",54.24,42.28,69.29,6.95,"1",NA
"14",1976,"1","27",54.86,43.15,69.65,6.82,"1",NA
"15",1977,"1","24.8",54.74,43.34,69.23,6.7,"1",NA
"16",1978,"1","31.8",54.76,43.63,68.93,6.58,"1",NA
"17",1979,"1","30.7",53.63,42.81,67.5,6.46,"1",NA
"18",1980,"1","29.7",52.88,42.29,66.44,6.35,"1",NA
"19",1981,"1","32.8",52.34,41.93,65.7,6.25,"1",NA
"20",1982,"1","31.2",51.53,41.28,64.66,6.15,"1",NA
"21",1983,"1","29.6",50.9,40.72,63.89,6.05,"1",NA
"22",1984,"1","28",50.47,40.42,63.32,5.96,"1",NA
"23",1985,"1","26.4",50.23,40.3,63.02,5.89,"1",NA
"24",1986,"1","24.8",50.12,40.28,62.7,5.81,"1",NA
"25",1987,"1","23.2",50.13,40.4,62.57,5.75,"1",NA
"26",1988,"1","21.6",50.28,40.68,62.66,5.69,"1",NA
"27",1989,"1","20",50.56,41,62.9,5.64,"1",NA
"28",1990,"1","18.4",50.97,41.48,63.27,5.59,"1",NA
"29",1991,"1","16.8",51.5,42.09,63.77,5.56,"1",NA
