Sex,Length,Weight
Female,98,358
Female,99,353
Female,110,500
Female,107,500
Female,107,562
Male,96,300
Male,108,500
Male,65,250
Male,64.9,250
Male,98,349
Male,112,751
Male,100,517
Male,101,522
Male,101,520
Female,85,600
Female,70,300
Female,63,250
Female,73,400
Female,62,250
Female,70,300
Female,63,250
Female,94,700
Female,70,300
Female,71,350
Female,62,400
Female,63,250
Female,62,250
Female,93,750
Female,96,800
Female,74,450
Female,73,400
Female,63,250
Female,92,700
Female,70,350
Female,63,250
Female,68,300
Female,74,350
Female,68,300
Female,75,400
Male,88,650
Male,82,500
Male,63,250
Male,71,350
Male,75,400
Male,71,350
Male,63,250
Male,70,250
Male,73,400
Male,74,450
Male,88,650
Male,66,300
Male,71,350
Male,92,700
Male,102,900
Male,82,500
Male,66,300
Male,88,650
Male,74,450
Male,66,300
Male,62,250
Male,97,900
Male,75,400
Male,85,600
Male,82,500
Male,93,700
Male,68,300
Male,85,600
Male,93,700
Male,74,350
Male,67,300
,97,900
,74,450
,75,400
,75,450
,63,250
,70,300
,71,300
,72,350
,72,350
Female,63,250
Female,71,300
Female,66,300
Female,88,650
Female,76,450
Female,73,400
Female,82,500
Female,88,650
Female,62,250
Female,70,300
Female,72,400
Female,93,700
Female,70,300
Female,71,300
Female,,550
Female,83,500
Female,62,250
Male,87,650
Male,62,250
Male,63,250
Male,72,400
Male,70,350
Male,86,600
Male,83,500
Male,63,250
Male,72,350
Male,71,400
Male,76,450
Male,77,500
Male,73,350
Male,63,250
Male,,600
Male,76,450
Male,85,650
Male,92,700
Male,70,300
Female,98,800
Female,77,500
Female,92,750
Female,71,350
Female,77,500
Female,72,350
Female,82,550
Female,62,250
Female,72,400
Female,77,500
Female,93,700
Female,71,350
Female,71,400
Female,76,450
Female,96,750
Female,98,800
Female,76,450
Male,95,750
Male,63,250
Male,108,1100
Male,70,300
Male,72,400
Male,87,650
Male,62,250
Male,63,250
Male,76,450
Male,77,500
Male,71,350
Male,70,300
Male,94,8.5
Male,104,1000
Male,73,300
Male,105,1000
Male,77,500
Male,77,500
Male,76,450
Male,87,600
Male,70,300
Male,77,850
Male,71,350
Male,88,650
Male,86,600
Male,95,850
Male,93,700
Male,82,550
Male,73,300
,86,368
,90,371
,71,250
,95,381
,80,300
,100,468
,80,300
,91,380
,110,515
,90,397
Male,86,368
Male,90,371
Male,71,250
Male,95,381
Male,80,300
Male,100,468
,103,496
,91,390
Female,103,496
Male,80,300
Male,91,380
Male,110,515
Male,90,397
,79,256
,75,249
,120,613
,90,370
Male,79,256
Male,75,249
Male,120,613
,110,609
,90,350
,92,380
Female,110,609
Female,90,350
Female,92,380
Male,90,370
,90,540
,80,320
Male,90,540
Male,80,320
,,
,125,601
,123,610
,120,589
,90,361
,124,615
,85,340
,71,250
,95,500
,79,410
Female,125,601
Female,123,610
Female,120,589
Female,90,361
Female,124,615
Female,85,340
,,
,,
,,
,,
,,
,,
,,
,80,3.9
,90,450
,70,240
,70,258
Female,71,250
Female,95,500
Male,80,3.9
Male,90,450
Male,70,240
Male,70,258
,,
,,
,71,251
,100,700
,91,600
,78,310
,74,250
Female,79,410
Male,71,251
Male,100,700
Male,91,600
Male,78,310
Male,74,250
,95,280
,70,250
Male,95,280
Male,70,250
,,
,,
,71,250
,70,250
