Taxa ,NumFamilies,NumSpecies,MaxMaxLength,MeanMvK,MinMvK,MaxMvK,MeanLMATvMLinf,MinLMATvMLinf,MaxLMATvMLinf,
Type I,34,49,3.19,1.95,1,3.52,0.55,0.32,0.79, 
Chondrichthyes,8,10,3.19,2.07,1.03,3.16,0.64,0.5,0.79, 
Crustacean,2,3,0.25,1.55,1.2,1.9,0.52,0.46,0.56, 
Mollusc,2,2,0.07,2.92,2.74,3.1,0.35,0.32,0.39, 
Teleost,22,34,1.49,1.88,1,3.52,0.55,0.32,0.71, 
Type II,32,59,1.83,0.62,0.14,0.98,0.69,0.3,0.84, 
Chondrichthyes,1,1,,0.59,0.59,0.59,0.75,0.75,0.75, 
Crustacean,3,5,0.08,0.74,0.74,0.94,0.55,0.3,0.74, 
Mollusc,5,8,0.14,0.53,0.53,0.84,0.55,0.34,0.8, 
Teleost,23,45,1.83,0.63,0.63,0.98,0.72,0.32,0.84, 
Type III,11,15,21.49,0.57,0.57,0.83,0.88,0.85,0.93, 
Chondrichthyes,2,2,1.62,0.68,0.68,0.73,0.92,0.91,0.93, 
Mammal,3,5,21.49,0.46,0.46,0.75,0.88,0.87,0.91, 
Teleost,6,8,0.69,0.61,0.61,0.83,0.87,0.85,0.89, 
Total,77,123,21.49,1.17,1.17,3.52,0.66,0.3,0.93, 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,s,,,
